FA_matrix_v1.dat — changes vs canonical MC_st0r5.2_6.dat
source md5: derived from build/MC_st0r5.2_6.dat (canonical, v23 Arm A)
changed elements: 60 of 820   max |Delta| = 20.00% (cap 25%)

     pair  category                            old        new   mult      d%
   1- 2  hydrophobic.C.C                  -119.4     -125.4   1.05    -5.0
   1- 3  hydrophobic.C.C                  -162.9       -171   1.05    -5.0
   1- 4  hydrophobic.C.C                  -179.1     -188.1   1.05    -5.0
   1-12  polar_apolar.NO.C                -78.63      -74.7   0.95    +5.0
   1-13  polar_apolar.NO.C                -198.3     -188.4   0.95    +5.0
   1-14  polar_apolar.NO.C                -180.8     -171.8   0.95    +5.0
   2- 3  hydrophobic.C.C                  -69.11     -72.57   1.05    -5.0
   2- 4  hydrophobic.C.C                  -149.4     -156.9   1.05    -5.0
   2-11  polar_apolar.NO.C                -21.59     -20.51   0.95    +5.0
   2-12  polar_apolar.NO.C                -61.99     -58.89   0.95    +5.0
   2-13  polar_apolar.NO.C                -10.06     -9.557   0.95    +5.0
   2-23  halogen.CNO                      -186.1     -148.9   0.80   +20.0
   2-24  halogen.CNO                      -193.7       -155   0.80   +20.0
   2-26  halogen.CNO                       13.04      10.43   0.80   -20.0
   3- 4  hydrophobic.C.C                  -53.32     -55.99   1.05    -5.0
   3-10  polar_apolar.NO.C                -63.97     -60.77   0.95    +5.0
   3-12  polar_apolar.NO.C               -0.9491    -0.9016   0.95    +5.0
   3-13  polar_apolar.NO.C                -50.23     -47.72   0.95    +5.0
   3-14  polar_apolar.NO.C                -44.36     -42.14   0.95    +5.0
   3-15  polar_apolar.NO.C                -30.77     -29.23   0.95    +5.0
   3-23  halogen.CNO                      -74.04     -59.23   0.80   +20.0
   3-24  halogen.CNO                      -93.41     -74.73   0.80   +20.0
   3-26  halogen.CNO                      -157.6     -126.1   0.80   +20.0
   4- 4  arom_self(C.ar.C.ar)             -58.92     -63.04   1.07    -7.0
   4-10  arom_cross(C.ar.N.ar)             -18.3     -19.58   1.07    -7.0
   4-12  polar_apolar.NO.C                -16.94     -16.09   0.95    +5.0
   4-13  polar_apolar.NO.C                -5.605     -5.325   0.95    +5.0
   4-14  polar_apolar.NO.C                -21.65     -20.57   0.95    +5.0
   4-23  halogen.CNO                      -57.06     -45.65   0.80   +20.0
   4-24  halogen.CNO                      -25.05     -20.04   0.80   +20.0
   4-25  halogen.CNO                      -12.72     -10.18   0.80   +20.0
   5-23  halogen.CNO                      -28.17     -22.54   0.80   +20.0
   5-25  halogen.CNO                      -190.1     -152.1   0.80   +20.0
   9-13  hbond.N.O                        -103.9     -114.3   1.10   -10.0
   9-14  hbond.N.O                        -101.8       -112   1.10   -10.0
   9-15  hbond.N.O                          -159     -174.9   1.10   -10.0
   9-24  halogen.CNO                       45.57      36.46   0.80   -20.0
   9-25  halogen.CNO                       50.17      40.14   0.80   -20.0
  10-13  hbond.N.O                        -86.64      -95.3   1.10   -10.0
  10-14  hbond.N.O                        -189.6     -208.6   1.10   -10.0
  10-15  hbond.N.O                        -125.3     -137.8   1.10   -10.0
  10-23  halogen.CNO                       7.695      6.156   0.80   -20.0
  10-24  halogen.CNO                       88.72      70.98   0.80   -20.0
  10-25  halogen.CNO                       137.3      109.8   0.80   -20.0
  11-13  hbond.N.O                        -141.1     -155.2   1.10   -10.0
  11-14  hbond.N.O                        -70.05     -77.06   1.10   -10.0
  11-15  hbond.N.O                        -140.1     -154.1   1.10   -10.0
  11-23  halogen.CNO                      -46.59     -37.27   0.80   +20.0
  11-24  halogen.CNO                       36.68      29.34   0.80   -20.0
  12-13  hbond.N.O                         -81.1     -89.21   1.10   -10.0
  12-14  hbond.N.O                        -49.12     -54.03   1.10   -10.0
  12-15  hbond.N.O                        -127.7     -140.5   1.10   -10.0
  12-23  halogen.CNO                      -28.99     -23.19   0.80   +20.0
  12-25  halogen.CNO                      -1.934     -1.547   0.80   +20.0
  13-23  halogen.CNO                        51.7      41.36   0.80   -20.0
  13-24  halogen.CNO                        19.2      15.36   0.80   -20.0
  13-26  halogen.CNO                       9.606      7.685   0.80   -20.0
  14-23  halogen.CNO                      -149.5     -119.6   0.80   +20.0
  15-23  halogen.CNO                       187.5        150   0.80   -20.0
  15-24  halogen.CNO                      -69.11     -55.29   0.80   +20.0
