# Synthetic CMA-ES entropy collapse trace (mock)
# gen,H_search,H_energy,F,best_cf,n_evals
gen,H_search,H_energy,F,best_cf,n_evals
0,0.950000,4.158883,-0.100000,12.500000,64
1,0.820000,4.100000,-0.450000,10.200000,128
2,0.550000,3.800000,-0.900000,7.800000,192
3,0.200000,3.200000,-1.500000,5.100000,256
4,0.050000,2.500000,-2.000000,3.400000,320
5,0.010000,2.000000,-2.300000,2.100000,384
6,0.002000,1.500000,-2.400000,1.500000,448
7,0.000500,1.000000,-2.450000,1.200000,512
8,0.000100,0.500000,-2.460000,1.050000,576
9,0.000020,0.100000,-2.464100,1.000000,640
